InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
552823,21933,PINK VINTAGE PAISLEY PICNIC BAG,6,5/11/2011 13:06,1.65,14731.0,United Kingdom
559693,21084,SET/6 COLLAGE PAPER CUPS,5,7/11/2011 16:21,0.83,,United Kingdom
581498,82600,N0 SINGING METAL SIGN,4,12/9/2011 10:26,4.13,,United Kingdom
569568,22024,RAINY LADIES BIRTHDAY CARD,12,10/5/2011 9:57,0.42,12700.0,France
537771,22158,3 HEARTS HANGING DECORATION RUSTIC,8,12/8/2010 12:29,2.95,15498.0,United Kingdom
543713,84997b,RED 3 PIECE RETROSPOT CUTLERY SET,8,2/11/2011 11:46,8.29,,United Kingdom
557846,22210,WOOD STAMP SET BEST WISHES,1,6/23/2011 10:44,0.83,17365.0,United Kingdom
559135,20675,BLUE POLKADOT BOWL,8,7/6/2011 13:18,1.25,12455.0,Spain
573576,21890,S/6 WOODEN SKITTLES IN COTTON BAG,3,10/31/2011 14:09,5.79,14096.0,United Kingdom
537225,21807,WHITE CHRISTMAS STAR DECORATION,36,12/5/2010 16:41,0.42,12748.0,United Kingdom
541422,84568,GIRLS ALPHABET IRON ON PATCHES ,5,1/17/2011 17:48,0.42,,United Kingdom
551868,21880,RED RETROSPOT TAPE,12,5/4/2011 16:29,0.65,12540.0,Spain
568590,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,24,9/28/2011 10:29,0.29,13126.0,United Kingdom
577784,21787,RAIN PONCHO RETROSPOT,24,11/21/2011 16:24,0.85,13862.0,United Kingdom
554310,21336,GOLD WASHBAG,1,5/23/2011 15:25,1.63,,United Kingdom
559693,20713,JUMBO BAG OWLS,1,7/11/2011 16:21,4.13,,United Kingdom
551715,22417,PACK OF 60 SPACEBOY CAKE CASES,24,5/3/2011 15:23,0.55,13102.0,United Kingdom
558751,20768,GREEN FERN JOURNAL ,2,7/3/2011 11:26,2.55,16009.0,United Kingdom
550636,21991,BOHEMIAN COLLAGE STATIONERY SET,1,4/19/2011 15:37,2.46,,United Kingdom
558904,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,2,7/4/2011 16:18,4.13,,United Kingdom
548330,21937,STRAWBERRY   PICNIC BAG,3,3/30/2011 13:26,2.95,14810.0,United Kingdom
576180,21819,GLITTER CHRISTMAS STAR ,180,11/14/2011 11:11,0.39,13694.0,United Kingdom
540543,22074,6 RIBBONS SHIMMERING PINKS ,5,1/9/2011 15:23,1.65,14395.0,United Kingdom
565210,22398,MAGNETS PACK OF 4 SWALLOWS,3,9/1/2011 17:09,0.39,17750.0,United Kingdom
536676,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,12/2/2010 12:18,1.65,16752.0,United Kingdom
562843,22156,HEART DECORATION WITH PEARLS ,4,8/9/2011 17:37,1.63,,United Kingdom
558837,22029,SPACEBOY BIRTHDAY CARD,2,7/4/2011 11:58,0.83,,United Kingdom
569924,22837,,9,10/6/2011 17:44,0.0,,United Kingdom
546891,90129E,PURPLE GLASS TASSLE BAG CHARM,3,3/17/2011 18:18,1.63,,United Kingdom
573585,21990,MODERN FLORAL STATIONERY SET,5,10/31/2011 14:41,2.46,,United Kingdom
549155,22962,JAM JAR WITH PINK LID,1,4/6/2011 17:08,1.63,,United Kingdom
567484,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,9/20/2011 13:52,5.95,17340.0,United Kingdom
578827,23228,FILIGREE HEART BIRD WHITE ,3,11/25/2011 14:25,2.46,,United Kingdom
567673,22435,SET OF 9 HEART SHAPED BALLOONS,4,9/21/2011 15:43,2.46,,United Kingdom
537042,22853,CAT BOWL VINTAGE CREAM,1,12/5/2010 10:45,3.25,13838.0,United Kingdom
565967,21989,PACK OF 20 SKULL PAPER NAPKINS,24,9/8/2011 11:27,0.85,14646.0,Netherlands
574690,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,11/6/2011 13:11,0.79,12638.0,Sweden
574575,23396,LE JARDIN BOTANIQUE CUSHION COVER,2,11/4/2011 17:03,3.75,14971.0,United Kingdom
546972,21866,UNION JACK FLAG LUGGAGE TAG,4,3/18/2011 12:04,3.29,,United Kingdom
577519,16011,ANIMAL STICKERS,24,11/20/2011 13:20,0.21,15044.0,United Kingdom
568135,22090,PAPER BUNTING RETROSPOT,10,9/23/2011 17:04,5.79,,United Kingdom
539744,21876,POTTERING MUG,2,12/21/2010 15:21,3.36,,United Kingdom
538863,21524,DOORMAT SPOTTY HOME SWEET HOME,1,12/14/2010 14:15,7.95,16919.0,United Kingdom
577058,23350,ROLL WRAP VINTAGE SPOT ,4,11/17/2011 14:29,1.25,18122.0,United Kingdom
561391,22754,SMALL RED BABUSHKA NOTEBOOK ,12,7/27/2011 9:59,0.85,16628.0,United Kingdom
550968,22697,GREEN REGENCY TEACUP AND SAUCER,6,4/21/2011 16:59,2.95,14961.0,United Kingdom
576078,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,11/13/2011 16:22,0.79,14432.0,United Kingdom
544062,21931,JUMBO STORAGE BAG SUKI,100,2/15/2011 13:19,1.65,15311.0,United Kingdom
547088,22841,ROUND CAKE TIN VINTAGE GREEN,2,3/20/2011 16:02,7.95,14223.0,United Kingdom
557962,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,6/24/2011 9:22,8.95,13709.0,United Kingdom
556733,23002,TRAVEL CARD WALLET SKULLS,4,6/14/2011 11:53,0.42,16919.0,United Kingdom
542541,22795,SWEETHEART RECIPE BOOK STAND,1,1/28/2011 14:25,13.29,,United Kingdom
560225,22815,CARD PSYCHEDELIC APPLES,3,7/15/2011 16:27,0.42,,United Kingdom
565381,21107,CREAM SLICE FLANNEL PINK SPOT ,6,9/2/2011 15:23,2.95,16173.0,United Kingdom
576057,23209,LUNCH BAG VINTAGE DOILY ,2,11/13/2011 15:05,1.65,15861.0,United Kingdom
560433,22231,JIGSAW TREE WITH BIRDHOUSE,5,7/18/2011 15:49,1.25,,United Kingdom
570257,22730,ALARM CLOCK BAKELIKE IVORY,6,10/10/2011 9:56,3.75,13767.0,United Kingdom
556740,22663,JUMBO BAG DOLLY GIRL DESIGN,4,6/14/2011 12:06,2.08,17346.0,United Kingdom
571671,23199,JUMBO BAG APPLES,4,10/18/2011 13:15,2.08,16940.0,United Kingdom
553048,23254,CHILDRENS CUTLERY DOLLY GIRL ,4,5/13/2011 10:02,4.15,14291.0,United Kingdom
556207,21240,BLUE POLKADOT CUP,8,6/9/2011 13:50,0.85,17372.0,United Kingdom
549586,21155,RED RETROSPOT PEG BAG,10,4/11/2011 10:00,4.96,,United Kingdom
577023,23503,PLAYING CARDS KEEP CALM & CARRY ON,12,11/17/2011 12:43,1.25,16186.0,United Kingdom
540473,20933,YELLOW POT PLANT CANDLE,2,1/7/2011 14:31,3.75,17284.0,United Kingdom
562558,21671,RED SPOT CERAMIC DRAWER KNOB,6,8/5/2011 16:43,1.25,13451.0,United Kingdom
545571,22079,RIBBON REEL HEARTS DESIGN ,10,3/3/2011 16:34,1.65,17700.0,United Kingdom
547888,22927,GREEN GIANT GARDEN THERMOMETER,4,3/28/2011 9:59,5.95,13368.0,United Kingdom
572549,84692,BOX OF 24 COCKTAIL PARASOLS,2,10/24/2011 17:03,0.83,,United Kingdom
566394,23380,PACK OF 12 VINTAGE DOILY TISSUES,24,9/12/2011 12:45,0.39,13650.0,United Kingdom
577358,21967,PACK OF 12 SKULL TISSUES,5,11/18/2011 15:59,0.83,,United Kingdom
537640,21232,STRAWBERRY CERAMIC TRINKET BOX,39,12/7/2010 15:31,3.36,,United Kingdom
555815,21507,"ELEPHANT, BIRTHDAY CARD, ",12,6/7/2011 11:47,0.42,13089.0,United Kingdom
550137,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,5,4/14/2011 13:59,12.75,12477.0,Germany
536464,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,12/1/2010 12:23,1.25,17968.0,United Kingdom
544368,22746,POPPY'S PLAYHOUSE LIVINGROOM ,3,2/18/2011 11:27,2.1,14057.0,United Kingdom
574852,46000S,POLYESTER FILLER PAD 40x40cm,2,11/7/2011 12:04,1.45,15493.0,United Kingdom
557213,71038,WHITE HANGING BEADS CANDLE HOLDER,3,6/17/2011 12:16,5.45,15021.0,United Kingdom
566060,21126,SET OF 6 GIRLS CELEBRATION CANDLES,1,9/8/2011 15:27,1.25,,United Kingdom
568212,23081,GREEN METAL BOX ARMY SUPPLIES,1,9/25/2011 16:05,8.25,15154.0,United Kingdom
577052,22972,CHILDREN'S SPACEBOY MUG,6,11/17/2011 14:08,1.65,17397.0,United Kingdom
546830,22361,GLASS JAR DAISY FRESH COTTON WOOL,6,3/17/2011 12:10,2.95,16839.0,United Kingdom
571028,85061W,WHITE JEWELLED HEART DECORATION,2,10/13/2011 12:21,0.85,16770.0,United Kingdom
555565,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12,6/5/2011 15:06,1.65,15298.0,United Kingdom
553925,84596F,SMALL MARSHMALLOWS PINK BOWL,16,5/20/2011 9:38,0.42,15370.0,United Kingdom
554985,22366,DOORMAT AIRMAIL ,2,5/29/2011 12:26,7.95,12426.0,Germany
538069,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,3,12/9/2010 14:08,0.42,16795.0,United Kingdom
568082,23144,ZINC T-LIGHT HOLDER STARS SMALL,24,9/23/2011 14:38,0.83,14944.0,United Kingdom
579991,72799C,PINK PILLAR CANDLE SILVER FLOCK,6,12/1/2011 11:20,2.95,13159.0,United Kingdom
567901,23302,KNEELING MAT HOUSEWORK  DESIGN,1,9/22/2011 16:28,3.29,,United Kingdom
552673,48185,DOORMAT FAIRY CAKE,1,5/10/2011 15:07,14.13,,United Kingdom
554158,21213,PACK OF 72 SKULL CAKE CASES,12,5/23/2011 11:44,0.55,15563.0,United Kingdom
C539602,21733,RED HANGING HEART T-LIGHT HOLDER,-3,12/20/2010 14:02,2.95,13369.0,United Kingdom
544470,22607,WOODEN ROUNDERS GARDEN SET ,8,2/21/2011 8:38,8.5,12707.0,France
578251,21822,GLITTER CHRISTMAS TREE WITH BELLS,6,11/23/2011 12:45,0.79,15993.0,United Kingdom
543828,84509G,SET OF 4 FAIRY CAKE PLACEMATS ,6,2/14/2011 9:45,3.75,14156.0,EIRE
580527,22510,GINGHAM BABUSHKA DOORSTOP,1,12/4/2011 15:19,0.79,13736.0,United Kingdom
538086,84378,SET OF 3 HEART COOKIE CUTTERS,3,12/9/2010 14:44,1.25,12872.0,United Kingdom
557635,20830,SILVER PHOTO FRAME,6,6/21/2011 15:27,2.1,12748.0,United Kingdom
572216,22747,POPPY'S PLAYHOUSE BATHROOM,1,10/21/2011 12:56,2.1,16015.0,United Kingdom
C540097,22113,GREY HEART HOT WATER BOTTLE,-4,1/4/2011 15:46,3.75,15373.0,United Kingdom
559693,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,1,7/11/2011 16:21,0.83,,United Kingdom
549275,21755,LOVE BUILDING BLOCK WORD,1,4/7/2011 13:09,5.95,15916.0,United Kingdom
537851,21143,ANTIQUE GLASS HEART DECORATION ,12,12/8/2010 15:39,1.95,13758.0,United Kingdom
538071,22732,3D VINTAGE CHRISTMAS STICKERS ,1,12/9/2010 14:09,2.51,,United Kingdom
580612,22301,COFFEE MUG CAT + BIRD DESIGN,1,12/5/2011 11:58,4.96,,United Kingdom
559337,22960,JAM MAKING SET WITH JARS,1,7/7/2011 16:27,8.29,,United Kingdom
566226,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,6,9/11/2011 10:39,3.25,15605.0,United Kingdom
562791,22741,FUNKY DIVA PEN,48,8/9/2011 14:18,0.85,17730.0,United Kingdom
572227,23229,VINTAGE DONKEY TAIL GAME ,3,10/21/2011 14:01,3.75,15051.0,United Kingdom
554104,22652,TRAVEL SEWING KIT,10,5/22/2011 14:03,1.65,12705.0,Germany
572528,10135,COLOURING PENCILS BROWN TUBE,2,10/24/2011 15:43,1.25,13176.0,United Kingdom
573601,23352,ROLL WRAP 50'S RED CHRISTMAS ,2,10/31/2011 15:24,2.46,,United Kingdom
566021,21754,HOME BUILDING BLOCK WORD,3,9/8/2011 12:47,6.25,15306.0,United Kingdom
555195,21671,RED SPOT CERAMIC DRAWER KNOB,24,6/1/2011 11:27,1.25,15240.0,United Kingdom
572742,21506,"FANCY FONT BIRTHDAY CARD, ",12,10/25/2011 15:48,0.42,14341.0,United Kingdom
571841,23141,TRIPLE WIRE HOOK PINK HEART,3,10/19/2011 12:21,4.15,17625.0,United Kingdom
544303,22993,SET OF 4 PANTRY JELLY MOULDS,2,2/17/2011 13:28,1.25,18116.0,United Kingdom
555277,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,6/1/2011 17:30,5.79,,United Kingdom
569046,23322,LARGE WHITE HEART OF WICKER,6,9/30/2011 10:48,2.95,14422.0,United Kingdom
575512,23660,HENRIETTA HEN MUG ,12,11/10/2011 10:36,1.65,14121.0,United Kingdom
558864,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,7/4/2011 12:38,8.5,,EIRE
572307,22780,LIGHT GARLAND BUTTERFILES PINK,1,10/23/2011 15:23,4.25,16905.0,United Kingdom
540839,21533,RETROSPOT LARGE MILK JUG,2,1/11/2011 15:42,4.95,16791.0,United Kingdom
573365,22627,MINT KITCHEN SCALES,2,10/30/2011 13:13,8.5,12584.0,Italy
566294,21110,LARGE CAKE TOWEL PINK SPOTS,3,9/11/2011 15:41,6.75,15533.0,United Kingdom
541695,22714,CARD BIRTHDAY COWBOY,1,1/20/2011 18:01,0.83,,United Kingdom
571040,22282,12 EGG HOUSE PAINTED WOOD,2,10/13/2011 12:59,12.75,15272.0,United Kingdom
546896,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,1,3/17/2011 18:24,1.63,,United Kingdom
554813,22485,SET OF 2 WOODEN MARKET CRATES,2,5/26/2011 13:26,12.75,15852.0,United Kingdom
574663,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,11/6/2011 12:04,6.95,13527.0,United Kingdom
555278,21931,JUMBO STORAGE BAG SUKI,1,6/1/2011 17:33,4.13,,United Kingdom
560252,22776,SWEETHEART CAKESTAND 3 TIER,1,7/17/2011 12:35,9.95,13468.0,United Kingdom
539421,22921,HERB MARKER CHIVES ,12,12/17/2010 14:21,0.65,14016.0,EIRE
544824,22381,TOY TIDY PINK POLKADOT,5,2/24/2011 9:32,2.1,17139.0,United Kingdom
546555,22670,FRENCH WC SIGN BLUE METAL,24,3/15/2011 9:22,1.25,17675.0,United Kingdom
556094,22195,LARGE HEART MEASURING SPOONS,1,6/8/2011 15:26,3.29,,United Kingdom
562608,23209,LUNCH BAG DOILEY PATTERN ,10,8/8/2011 11:45,1.65,15502.0,United Kingdom
560366,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,4,7/18/2011 12:19,4.25,16859.0,United Kingdom
546105,20974,12 PENCILS SMALL TUBE SKULL,3,3/9/2011 12:21,0.65,14662.0,United Kingdom
540530,22567,20 DOLLY PEGS RETROSPOT,12,1/9/2011 14:02,1.25,14755.0,United Kingdom
569415,22371,AIRLINE BAG VINTAGE TOKYO 78,2,10/4/2011 10:14,8.29,,United Kingdom
539840,22492,MINI PAINT SET VINTAGE ,36,12/22/2010 14:28,0.65,12383.0,Belgium
541794,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,1/21/2011 13:21,2.95,17238.0,United Kingdom
558053,20728,LUNCH BAG CARS BLUE,10,6/24/2011 14:33,1.65,15027.0,United Kingdom
576876,72741,GRAND CHOCOLATECANDLE,9,11/16/2011 16:42,1.45,16804.0,United Kingdom
579408,22997,TRAVEL CARD WALLET UNION JACK,2,11/29/2011 12:34,0.42,14701.0,United Kingdom
561047,21988,PACK OF 6 SKULL PAPER PLATES,12,7/24/2011 12:46,0.85,16948.0,United Kingdom
569482,23393,HOME SWEET HOME CUSHION COVER ,4,10/4/2011 12:43,3.75,14184.0,United Kingdom
578031,23173,REGENCY TEAPOT ROSES ,2,11/22/2011 13:41,9.95,15796.0,United Kingdom
564049,84927F,PSYCHEDELIC TILE HOOK,2,8/22/2011 13:30,0.39,17585.0,United Kingdom
580516,23597,PAPER BUNTING PAISLEY PARK,1,12/4/2011 14:15,2.95,17954.0,United Kingdom
575324,22621,TRADITIONAL KNITTING NANCY,12,11/9/2011 13:45,1.65,14240.0,United Kingdom
559906,22697,GREEN REGENCY TEACUP AND SAUCER,6,7/13/2011 13:33,2.95,18219.0,United Kingdom
553724,84879,ASSORTED COLOUR BIRD ORNAMENT,8,5/18/2011 16:50,1.69,17047.0,United Kingdom
541302,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/17/2011 14:18,2.95,13769.0,United Kingdom
559804,23153,ZINC SWEETHEART WIRE LETTER RACK,4,7/12/2011 14:17,3.75,17405.0,United Kingdom
537666,21983,PACK OF 12 BLUE PAISLEY TISSUES ,4,12/7/2010 18:36,0.85,,United Kingdom
554858,47566,PARTY BUNTING,4,5/27/2011 10:15,4.95,17042.0,United Kingdom
576339,37500,TEA TIME TEAPOT IN GIFT BOX,4,11/14/2011 15:27,8.29,14096.0,United Kingdom
580143,23235,STORAGE TIN VINTAGE LEAF,6,12/2/2011 9:32,2.89,13297.0,United Kingdom
562553,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",1,8/5/2011 16:34,2.46,,United Kingdom
537111,82482,WOODEN PICTURE FRAME WHITE FINISH,2,12/5/2010 12:08,2.55,14810.0,United Kingdom
552041,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,5/6/2011 8:25,1.65,14273.0,United Kingdom
569486,22698,PINK REGENCY TEACUP AND SAUCER,1,10/4/2011 12:51,2.95,15339.0,United Kingdom
564093,23080,RED METAL BOX TOP SECRET,2,8/23/2011 10:29,8.25,14930.0,Channel Islands
571652,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,10/18/2011 12:17,0.83,,Hong Kong
540026,85169A,IVORY LOVE BIRD CANDLE,6,1/4/2011 13:25,0.85,,United Kingdom
573263,21158,MOODY GIRL DOOR HANGER ,240,10/28/2011 12:34,0.39,13694.0,United Kingdom
545667,21035,SET/2 RED RETROSPOT TEA TOWELS ,1,3/4/2011 16:07,6.63,,United Kingdom
550333,22920,HERB MARKER BASIL,12,4/17/2011 14:05,0.65,15410.0,United Kingdom
570488,90086,CRYSTAL FROG PHONE CHARM,1,10/10/2011 17:12,1.63,14096.0,United Kingdom
573074,22840,ROUND CAKE TIN VINTAGE RED,2,10/27/2011 14:03,7.95,16265.0,United Kingdom
556108,17096,ASSORTED LAQUERED INCENSE HOLDERS,1,6/8/2011 17:59,0.42,,United Kingdom
565519,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,9/5/2011 11:52,3.25,12502.0,Spain
569675,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,10/5/2011 14:03,4.25,15687.0,United Kingdom
538524,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,1,12/13/2010 9:35,3.36,,United Kingdom
553418,22993,SET OF 4 PANTRY JELLY MOULDS,12,5/17/2011 10:10,1.25,18257.0,United Kingdom
578344,22572,ROCKING HORSE GREEN CHRISTMAS ,3,11/24/2011 9:21,1.63,,United Kingdom
552467,22925,BLUE GIANT GARDEN THERMOMETER,4,5/9/2011 15:29,5.95,15249.0,United Kingdom
566602,22153,ANGEL DECORATION STARS ON DRESS,5,9/13/2011 16:05,0.83,,United Kingdom
541871,21231,SWEETHEART CERAMIC TRINKET BOX,1,1/24/2011 9:41,2.46,,United Kingdom
575734,23494,VINTAGE DOILY DELUXE SEWING KIT ,3,11/11/2011 8:39,5.95,12384.0,Switzerland
555413,20726,LUNCH BAG WOODLAND,3,6/3/2011 9:50,1.65,17994.0,United Kingdom
552631,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,5/10/2011 12:55,0.85,12684.0,France
541789,21071,VINTAGE BILLBOARD DRINK ME MUG,60,1/21/2011 13:07,1.06,14088.0,United Kingdom
536846,22367,CHILDRENS APRON SPACEBOY DESIGN,2,12/2/2010 19:59,1.95,14573.0,United Kingdom
557745,21561,DINOSAUR LUNCH BOX WITH CUTLERY,3,6/22/2011 12:16,2.55,15750.0,United Kingdom
563366,84817,DANISH ROSE DECORATIVE PLATE,6,8/16/2011 8:52,2.1,15373.0,United Kingdom
559295,22799,SWEETHEART WIRE FRUIT BOWL,2,7/7/2011 12:32,8.5,12362.0,Belgium
559055,22315,200 RED + WHITE BENDY STRAWS,4,7/5/2011 17:09,1.25,,United Kingdom
573877,23321,SMALL WHITE HEART OF WICKER,24,11/1/2011 13:04,1.65,14432.0,United Kingdom
537666,21875,KINGS CHOICE MUG,2,12/7/2010 18:36,3.36,,United Kingdom
541798,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,1/21/2011 14:17,1.95,15311.0,United Kingdom
581334,22941,CHRISTMAS LIGHTS 10 REINDEER,2,12/8/2011 12:07,8.5,17841.0,United Kingdom
548320,POST,POSTAGE,2,3/30/2011 12:54,18.0,12709.0,Germany
559506,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,4,7/8/2011 15:17,2.08,,United Kingdom
560555,22112,CHOCOLATE HOT WATER BOTTLE,1,7/19/2011 13:01,4.95,14178.0,United Kingdom
558474,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,48,6/29/2011 15:42,4.25,16553.0,United Kingdom
573386,48138,DOORMAT UNION FLAG,4,10/30/2011 14:27,8.25,17183.0,United Kingdom
545048,21929,JUMBO BAG PINK VINTAGE PAISLEY,8,2/27/2011 11:48,1.95,14810.0,United Kingdom
546406,22366,DOORMAT AIRMAIL ,1,3/11/2011 16:21,15.79,,United Kingdom
576252,23168,CLASSIC CAFE SUGAR DISPENSER,12,11/14/2011 13:55,1.25,14418.0,United Kingdom
547048,84581,DOG TOY WITH PINK CROCHET SKIRT,4,3/20/2011 11:52,3.75,14911.0,EIRE
541676,22551,PLASTERS IN TIN SPACEBOY,12,1/20/2011 14:01,1.65,15379.0,United Kingdom
573496,23194,GYMKHANA TREASURE BOOK BOX,1,10/31/2011 11:59,2.25,17841.0,United Kingdom
551012,21912,VINTAGE SNAKES & LADDERS,1,4/26/2011 10:32,7.46,,United Kingdom
C545740,POST,POSTAGE,-1,3/7/2011 11:47,8.65,18257.0,United Kingdom
578143,21243,PINK POLKADOT PLATE ,96,11/23/2011 11:06,1.45,14646.0,Netherlands
570672,23365,SET 12 COLOUR PENCILS LOVE LONDON,16,10/11/2011 14:52,0.65,12536.0,France
580136,23219,LAUREL STAR ANTIQUE SILVER ,4,12/1/2011 19:42,1.25,17841.0,United Kingdom
576890,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,11/16/2011 17:25,0.85,12662.0,Germany
573542,22598,CHRISTMAS MUSICAL ZINC TREE,12,10/31/2011 13:03,0.29,14702.0,United Kingdom
576618,21207,SKULL AND CROSSBONES  GARLAND ,3,11/15/2011 17:00,1.63,,United Kingdom
558533,22672,FRENCH BATHROOM SIGN BLUE METAL,12,6/30/2011 11:49,1.65,16717.0,United Kingdom
573772,23352,ROLL WRAP 50'S RED CHRISTMAS ,2,11/1/2011 10:16,1.25,17377.0,United Kingdom
540994,21504,SKULLS GREETING CARD,12,1/13/2011 9:29,0.42,13089.0,United Kingdom
538073,22439,6 ROCKET BALLOONS ,1,12/9/2010 14:10,0.65,17816.0,United Kingdom
578346,22156,HEART DECORATION WITH PEARLS ,36,11/24/2011 9:24,0.85,15270.0,United Kingdom
558777,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,1,7/4/2011 10:23,4.13,,United Kingdom
540826,22708,WRAP DOLLY GIRL,25,1/11/2011 14:00,0.42,13102.0,United Kingdom
555601,23040,PAPER LANTERN 9 POINT SNOW STAR ,10,6/6/2011 11:22,5.75,15852.0,United Kingdom
561890,23294,SET OF 6 SNACK LOAF BAKING CASES,24,7/31/2011 14:17,0.83,12697.0,Sweden
536977,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,10,12/3/2010 14:18,2.95,17954.0,United Kingdom
578846,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,2,11/25/2011 17:27,1.45,17757.0,United Kingdom
579161,23206,LUNCH BAG APPLE DESIGN,1,11/28/2011 13:56,1.65,17379.0,United Kingdom
554978,22090,PAPER BUNTING RETROSPOT,6,5/29/2011 11:05,2.95,16889.0,United Kingdom
578230,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,120,11/23/2011 11:58,2.1,15189.0,United Kingdom
555847,22193,RED DINER WALL CLOCK,2,6/7/2011 13:27,8.5,14880.0,United Kingdom
546910,22727,ALARM CLOCK BAKELIKE RED ,2,3/17/2011 19:46,3.75,13969.0,United Kingdom
551054,22539,MINI JIGSAW DOLLY GIRL,24,4/26/2011 11:44,0.42,12429.0,Austria
560244,21832,CHOCOLATE CALCULATOR,3,7/17/2011 12:14,1.65,16931.0,United Kingdom
577329,23491,VINTAGE JINGLE BELLS HEART,3,11/18/2011 14:15,8.25,17779.0,United Kingdom
571119,47566,PARTY BUNTING,13,10/14/2011 9:04,10.79,,United Kingdom
548470,POST,POSTAGE,2,3/31/2011 12:36,28.0,12782.0,Portugal
564335,23205,CHARLOTTE BAG VINTAGE ALPHABET ,1,8/24/2011 14:23,0.85,15800.0,United Kingdom
551007,22776,SWEETHEART CAKESTAND 3 TIER,1,4/26/2011 9:49,19.96,,United Kingdom
565421,21974,SET OF 36 PAISLEY FLOWER DOILIES,1,9/4/2011 12:10,1.45,16744.0,United Kingdom
581006,23203,JUMBO BAG VINTAGE DOILY ,10,12/7/2011 8:45,2.08,14911.0,EIRE
577338,22560,TRADITIONAL MODELLING CLAY,24,11/18/2011 14:52,1.25,17650.0,United Kingdom
563022,21592,RETROSPOT CIGAR BOX MATCHES ,1,8/11/2011 13:34,1.25,17248.0,United Kingdom
541969,21896,POTTING SHED TWINE,1,1/24/2011 13:46,4.13,,United Kingdom
541497,22222,CAKE PLATE LOVEBIRD WHITE,3,1/18/2011 15:19,4.13,,United Kingdom
551885,22985,WRAP BILLBOARD FONTS DESIGN,25,5/5/2011 9:18,0.42,16700.0,United Kingdom
566085,23206,LUNCH BAG APPLE DESIGN,1,9/9/2011 10:12,1.65,17841.0,United Kingdom
545690,22219,LOVEBIRD HANGING DECORATION WHITE ,1,3/6/2011 12:46,0.85,13263.0,United Kingdom
557442,22629,SPACEBOY LUNCH BOX ,2,6/20/2011 12:53,1.95,14808.0,United Kingdom
555198,22038,BOTANICAL LAVENDER GIFT WRAP ,25,6/1/2011 11:52,0.42,15916.0,United Kingdom
563425,23314,VINTAGE CHRISTMAS TABLECLOTH,4,8/16/2011 11:37,12.5,15140.0,United Kingdom
555541,85049F,BABY BOOM RIBBONS ,2,6/5/2011 12:51,1.25,16883.0,United Kingdom
568908,22077,6 RIBBONS RUSTIC CHARM,12,9/29/2011 13:38,1.95,16653.0,United Kingdom
538174,22556,PLASTERS IN TIN CIRCUS PARADE ,24,12/10/2010 9:35,1.65,12471.0,Germany
570180,85049E,SCANDINAVIAN REDS RIBBONS,12,10/7/2011 14:28,1.25,17509.0,United Kingdom
539744,21116,OWL DOORSTOP,2,12/21/2010 15:21,8.47,,United Kingdom
556905,22467,GUMBALL COAT RACK,1,6/15/2011 13:05,2.55,16904.0,United Kingdom
573137,23323,WHITE WICKER STAR ,1,10/27/2011 17:15,4.13,,United Kingdom
580322,22600,CHRISTMAS RETROSPOT STAR WOOD,12,12/2/2011 15:48,0.85,17567.0,United Kingdom
569637,21888,BINGO SET,4,10/5/2011 12:14,3.75,15757.0,United Kingdom
545721,22424,ENAMEL BREAD BIN CREAM,2,3/7/2011 10:52,12.75,15039.0,United Kingdom
